Feature,MeanAbsoluteSHAP
PowerConsumption_Zone1,0.00040513283844096964
HourCos,0.00035592160219043476
Zone1Lag1,0.000294491130730102
Holiday,0.00022547002301881038
Zone1RollingMean144,0.00022285960261759626
HourSin,0.00021116354104118798
Zone1Lag2,0.00019283774348646254
MonthCos,0.00017657771034985516
GeneralDiffuseFlows,0.00017053957791196266
Zone1Lag3,0.00013279599264237038
Zone1RollingMean6,0.00011614772677557322
DiffuseFlows,0.0001159868582224882
Zone1RollingStd18,0.00011075021616643564
Zone1Lag144,0.00010897944975680682
Zone1RollingStd6,9.659788722025291e-05
MonthSin,7.548805626249776e-05
Weekend,7.004549289908004e-05
Zone1RollingStd144,5.8181165097101074e-05
Zone1RollingMean18,5.504466305134338e-05
DayOfWeekCos,5.498287691083827e-05
Zone1Lag6,5.415976831547417e-05
WindSpeed,4.546368646667898e-05
DayOfWeekSin,4.0255451841400944e-05
Humidity,3.090337137559954e-05
Temperature,2.5668374369611302e-05
